No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
657,WISEA J122742.11+514007.3,12h27m42.1159s,+51d40m07.380s,186.9254833,51.6687167,G,43460.612843802,0.144969,SLS,1,0,31,4,1,4,0,0,0,0
658,WISEA J130118.21+505302.6,13h01m18.1559s,+50d53m02.751s,195.3256497187,50.884097614,G,11378.922535848,0.037956,SLS,1,0,31,4,1,4,0,0,0,0
659,WISEA J122409.36+522130.1,12h24m09.3694s,+52d21m30.109s,186.0390392,52.3583637,G,49741.7085317398,0.16592048,SLS,12,0,57,9,5,8,0,0,0,1
660,WISEA J130408.46+502322.8,13h04m08.4626s,+50d23m22.873s,196.0352609,50.3896872,G,10248.704969188,0.034186,SLS,1,0,31,4,1,4,0,0,0,0
661,WISEA J115514.79+515108.1,11h55m14.7906s,+51d51m08.126s,178.8116277,51.8522573,G,46271.4429466134,0.15434492,SLS,12,0,61,11,8,10,0,0,1,1
662,WISEA J122744.54+515808.2,12h27m44.5422s,+51d58m08.208s,186.9355928,51.9689467,G,6582.543000306,0.021957,SLS,1,0,31,4,1,4,0,0,0,0
663,WISEA J131416.91+542821.2,13h14m16.9179s,+54d28m21.297s,198.5704915,54.4725825,G,36128.0955399026,0.120510355,SLS,16,0,53,6,4,8,0,0,0,1
664,WISEA J111922.47+485248.7,11h19m22.4712s,+48d52m48.797s,169.8436302,48.8802215,G,25485.956439496,0.085012,SLS,1,0,27,3,1,4,0,0,0,0
665,WISEA J115754.15+543307.1,11h57m54.1211s,+54d33m06.760s,179.4755047,54.551878,G,15113.4072059082,0.0504129,SLS,1,0,27,4,2,4,0,0,0,0
666,WISEA J125707.51+504303.8,12h57m07.5170s,+50d43m03.888s,194.281321,50.7177468,G,45219.8039811197,0.15083703,SLS,11,0,57,8,4,8,0,0,0,1
667,WISEA J130731.21+550742.7,13h07m31.2167s,+55d07m42.779s,196.8800697,55.1285499,G,18883.92692942,0.06299,SLS,1,0,12,3,1,0,0,0,0,0
668,WISEA J124755.05+511834.5,12h47m55.0570s,+51d18m34.594s,191.9794044,51.3096095,G,50709.0038870997,0.16914703,SLS,10,0,61,9,4,8,0,0,0,1
669,WISEA J115654.43+515436.9,11h56m54.4387s,+51d54m36.919s,179.2268281,51.9102554,G,27948.15189705,0.093225,SLS,1,0,27,3,1,4,0,0,0,0
670,WISEA J133138.71+512347.6,13h31m38.7141s,+51d23m47.637s,202.9113091,51.3965659,G,26046.868128414,0.086883,SLS,1,0,33,4,1,4,0,0,0,0
671,SDSS J115648.66+544453.0,11h56m48.6630s,+54d44m53.014s,179.2027628241,54.7480596237,G,19482.312675588,0.064986,SLS,1,0,15,2,1,4,0,0,0,0
672,WISEA J120617.99+512340.8,12h06m17.9908s,+51d23m40.836s,181.5749617,51.3946769,G,37448.874683528,0.124916,SLS,1,0,16,4,1,0,0,0,0,0
673,WISEA J133501.27+551537.8,13h35m01.2715s,+55d15m37.860s,203.755298,55.2605169,G,32419.256615662,0.108139,SLS,1,0,41,4,1,6,0,0,1,0
674,WISEA J133736.61+505150.9,13h37m36.6132s,+50d51m50.982s,204.4025551,50.8641619,G,20153.847781508,0.067226,SLS,1,0,31,4,1,4,0,0,0,0
675,WISEA J122713.85+512123.4,12h27m13.8576s,+51d21m23.459s,186.8077401,51.3565166,G,25981.8116660657,0.086665995,SLS,13,0,47,7,6,6,0,0,1,0
676,WISEA J125130.58+551802.7,12h51m30.5893s,+55d18m02.745s,192.8774554,55.3007626,G,25392.121400142,0.084699,SLS,1,0,12,3,1,0,0,0,0,0
677,WISEA J133951.88+510259.1,13h39m51.8891s,+51d02m59.178s,204.9662047,51.0497719,G,19173.826236306,0.063957,SLS,1,0,31,4,1,4,0,0,0,0
678,WISEA J120835.74+505012.2,12h08m35.7487s,+50d50m12.276s,182.1489529,50.8367435,G,28713.4171149637,0.09577765,SLS,11,0,60,8,4,8,0,0,0,1
679,WISEA J123111.49+505324.3,12h31m11.4983s,+50d53m24.366s,187.7979097,50.8901017,G,19764.117586108,0.065926,SLS,1,0,31,4,1,4,0,0,0,0
680,WISEA J120740.48+503134.3,12h07m40.4886s,+50d31m34.371s,181.9187025,50.5262144,G,28214.667392212,0.094114,SLS,1,0,40,6,1,4,0,0,0,0
681,WISEA J124235.07+510401.7,12h42m35.0722s,+51d04m01.757s,190.6461345,51.0671549,G,44656.784751222,0.148959,SLS,1,0,31,4,1,4,0,0,0,0
682,WISEA J124520.58+505439.8,12h45m20.5310s,+50d54m39.725s,191.3355460995,50.9110347264,G,12661.134878714,0.042233,SLS,1,0,31,4,1,4,0,0,0,0
683,HETDEX J125553.42+505941.4,12h55m53.5142s,+50d59m41.240s,193.972976,50.994789,G,18839.557645636,0.062842,SLS,1,0,0,2,1,0,0,0,0,0
684,SDSS J125539.53+513846.4,12h55m39.5332s,+51d38m46.494s,193.9147218154,51.646248326,G,15912.384085724,0.053078,SLS,1,0,19,3,1,4,0,0,0,0
685,WISEA J120852.81+513351.9,12h08m52.8148s,+51d33m51.909s,182.2200618,51.5644192,G,26440.0369433073,0.08819447,SLS,14,0,57,7,3,8,0,0,0,1
